,text,
910,🕧 Don't waste your time 🕧 #london  #greenwich #sunday #december #weekend #grass #sunlight … https://t.co/HUxOXBuvSw https://t.co/dvTP6uIIVW,
911,Yellow Warning of Fog for London &amp; South East England https://t.co/AjtZJ5xDGF,y
912,Yellow Warning of Fog for London &amp; South East England https://t.co/JabGjoUVgq,y
913,Five really good Christmas movies: The Santa Clause. Elf. Jack Frost. Home Alone. Agent Cody Banks 2: Destination London.,
915,"@thameswater doing a crap job. There's been a leak there all week, why didn't you fix it before now?… https://t.co/bfUNgSK9fS",
916,😍😍😍😍 https://t.co/qrQpYjc2ri,
925,Yellow Warning of Fog for London &amp; South East England see https://t.co/keqykKs1yU for more details. #Surrey,y
931,"This is a few streets away. If you hear nothing from me but gurgling noises, you'l know why!
https://t.co/XC00pACCxE",
932,https://t.co/4Zj142gBv5 Special price for #Christmas #tistheseason #gift #gifts #giftidea #giftideas #giftguide2016 #Purse #purses #handbags,
934,#selfie #doubletrouble #Christmas #christmasjumper #sunday #sundayfunday #redhead #royalblue #penguin #sunshine… https://t.co/4QjExVIU6R,y
937,#CWMTransport @CWmasterplan Growth is not sustainable with crumbling infrastructure that affects transport too... https://t.co/MSjNm8uCg0,
938,Ni December? https://t.co/Wc844l94DT,
939,Yellow Warning of Fog for London &amp; South East England https://t.co/tcM7MaceTj,y
940,https://t.co/4Zj142gBv5 Special price for#Christmas #tistheseason #gift #gifts #giftidea #giftideas #giftguide2016 #Purse #purses #handbags,
941,"Crisp,sunny winter day in London but I am focused on editing manuscript 4 my new book on being a Gr8 employer for working carers -I am late!",y
943,Poor Stokey 😥 Used to live right down that road. Sorry for everyone affected. #stokenewington #flood… https://t.co/6njT2DvenN,
945,@IAmJordanWoods  Oh damn.. Looks warm in London.. snowing here. lol,y
949,"Yellow Warning of Fog for London &amp; South East England
https://t.co/Sq1MGQs9h5",y
950,"Yellow Warning of Fog for London &amp; South East England
https://t.co/6VGeJZAUl4",y
951,"Yellow Warning of Fog for London &amp; South East England
https://t.co/2MGhaelxpr",y
952,"Yellow Warning of Fog for London &amp; South East England
https://t.co/hnIauJ5oXj",y
953,"Yellow Warning of Fog for London &amp; South East England
https://t.co/1o9p819R0I",y
954,"Yellow Warning of Fog for London &amp; South East England
https://t.co/OXv9fHoyM0",y
955,"Yellow Warning of Fog for London &amp; South East England
https://t.co/EITVSbqSQh",y
956,"Yellow Warning of Fog for London &amp; South East England
https://t.co/cg1cDqTZgX",y
957,"Yellow Warning of Fog for London &amp; South East England
https://t.co/KBFJTF9rUR",y
958,"Yellow Warning of Fog for London &amp; South East England
https://t.co/5VuQAmp3mX",y
959,"Yellow Warning of Fog for London &amp; South East England
https://t.co/QDK5aNczFz",y
960,"Yellow Warning of Fog for London &amp; South East England
https://t.co/GgJV1PEiQa",y
961,"Yellow Warning of Fog for London &amp; South East England
https://t.co/gGSd4PA22I",y
962,"Yellow Warning of Fog for London &amp; South East England
https://t.co/cxaGUp7q0H",y
963,"Yellow Warning of Fog for London &amp; South East England
https://t.co/F1YzGjEIr9",y
964,"Yellow Warning of Fog for London &amp; South East England
https://t.co/62569e28vU",y
965,"Yellow Warning of Fog for London &amp; South East England
https://t.co/dvErF9Uwts",y
966,"Yellow Warning of Fog for London &amp; South East England
https://t.co/K2EcMSJjAL",y
967,"Yellow Warning of Fog for London &amp; South East England
https://t.co/845HqFPVK2",y
969,"Free 9-18kg car seat, light buggy with rain cover https://t.co/0OdB3u9f9w London https://t.co/ATuf8HHWZW",
971,Work will be fun tomorrow.........poor people. I know it's no consolation but the people at Thames do really care. https://t.co/mDcgojGt0Q,
972,#Weather Yellow Warning of Fog for London &amp; South East England https://t.co/RLqTYTbhs4 #SMAXOC,y
974,Yellow Warning of Fog for London &amp; South East England https://t.co/EOWvPJrNZm,y
977,Met Office: Yellow Warning of Fog for London &amp;amp; South East England https://t.co/FDcdDuAI9x,y
978,The current weather in #London this afternoon: Partly Cloudy. The temperature is 10°C with a 11km/h wind from the West.,y
981,a rare warm sunny Sunday in the beautiful mid-winter London but I'm stuck in the lab of course I kinda did sign up for this anyway,y
982,Sunny day of London😍🇬🇧 (with Febry and Dokter at Wembley Stadium) [pic] — https://t.co/1fVxxoWtsT,y
984,Lovely stroll in one of london's best parks! #trees #sunshine #LoveLondon https://t.co/jZzIn3qY4e,y
985,"Sunny and bright over here in London.  👍😁☀✌🇬🇧

Meanwhile, snow falls over in Green Bay...  👍😁❄🏉🇺🇸… https://t.co/isn7aElLoI",y
992,.@Browns_Hotel very exquisite!! https://t.co/kipIgOIFFU,
993,10am: Light Snow -5.7C - Feels: -12C - Wind: ESE 19km/h - Bar: 102.7 kPa v - Hum: 90% #London #Weather,y
995,Oshey!!! CMS London!!! 🙌🏾🙌🏾🙌🏾 https://t.co/IKpiYqnkjD,
998,Gold Snowflake 925 sterling silver earrings #bblogger #london #modelling #ootd #creativecontent #ootn #styledaily... https://t.co/rlvXS9FGnm,
1003,Indies put on brave face after north London flood #OnlineTrends https://t.co/UlKbAMaQnN,
1006,"Off to #London (with a terrible cold)! Will be meeting researchers from King's College, Royal College of Art and UCL among others. #1sttime",
1011,"{back in London} and I'm jet-lagged, almost got hit by a bus, so cold that my fingertips a… https://t.co/uZC8lvjXpQ https://t.co/Z1015EfcD8",
1016,Cms branch. https://t.co/w8lA41FlGK,
1020,High Level #photographers hard at work on a #dawn 'til #dusk shoot in #London.. beautiful colours but very cold!… https://t.co/NnGl3y0luZ,
1028,London weather: Flights disrupted at London City Airport following fog warning,
1030,"This #Christmas card shows a painting by Jan Griffer the Elder, it depicts London in the Great Frost of 1683 &amp; was… https://t.co/71WUy7GUs0",
1032,can we have another ‘Great Frost’ please? this looks great https://t.co/WOW3qEvKrb,
1033,"Just added this warm set to my #Etsyshop.
https://t.co/Yg6BnodBLM
#etsybot #handmadebot #hatandscarf #december… https://t.co/V8a7hEcB5v",
1036,Interesting @sutton_and_sons Our @Cook_Valentine fryers would do the job. https://t.co/qMpikcV5s5,
1039,baby looks so smol and cold SOMEONE GET HIM A JACKET AND SOME MITTENS PLS https://t.co/fZXVUgekX3,
1042,The temperature is 9C and currently/forecast light rain in #London @ Mon 17:40:01GMT,y
1051,1936 Hail &amp; Farewell Passing of King George V Presented to John Filsbee London https://t.co/WvFVW352ac https://t.co/0HD84KkfuZ,
1052,On the train to London for @TheShowstoppers. Got ear ache (think I'm getting a cold) so a show set somewhere quiet would be nice...,
1058,"Fog from Coal burning killed 4,000 people in London in 1952
And #Trump wants us to burn more coal??!
Heck no!
https://t.co/odXmpmWzlr
#EPA",
1062,LMAO https://t.co/POTosyOaon,
1063,"It might be wet and cold in London, but it feels quite magical too #shard https://t.co/QkE3zkuYiP",y
1067,Stuck in Dubai cause of the fog. Most khwaar I've ever been. Dil chah raha hai wapis London jaun,y
1068,Departing this Friday (16th Dec) from London Gatwick to Hurghada for 7nts at only £289pp inc 20kgs bags! #Winter… https://t.co/G7kLxvKEPY,
1070,12pm: Mostly Cloudy -0.8C - Feels: -8C - Wind: W 32km/h Gusts to 44km/h - Bar: 101.1 kPa ^ - Hum: 80% #London #Weather,y
1076,@victoriaedel https://t.co/kAPvFwEsrj,
1079,1pm: Mostly Cloudy -1.1C - Feels: -7C - Wind: W 26km/h Gusts to 49km/h - Bar: 101.2 kPa ^ - Hum: 79% #London #Weather,y
1081,Please tell us @TfLBusAlerts when you plan to stop this ridiculous tour around london by the 73 due to the Islington flood? Its nonsensical.,
1083,attn @KarlTheFog https://t.co/IVHGlnTucs,
1084,#london #winter #work #peaktime #night #fog #mist #cloud #theshard #skyscraper #tall #building… https://t.co/TWPLLhUlu4,y
1087,Could do with some of our wild mushroom pie on this cold London night. Recipe from last week's @ESMagOfficial. https://t.co/HsFJI1rIFz,y
1092,The Shard looking torch-like in London's cloudy winter gloom. At least I won't lose my way to… https://t.co/NcIsiv9TQC,y
1095,London's so mild compared to #Burgundy this weekend (note to self: must watch Fantasia soon) 🍁… https://t.co/4rAnSPG3b9,y
1099,Thames Water promotes. 3 ft flood over a week costing £s yet wants consumers to contribute to the London mains. Only 3/4bn£ profit,
1101,Cloudy day in London #london #londonbigben #bigben @ Big Ben https://t.co/sOU8n7daK0,y
1105,Cold London Blues :: Paul D. Brazill books :: BOOKS etc https://t.co/Uhhc1Pe3Vy,
1106,It may be grizzly in London today but we're still scoffing sunshine food ☀️ Mexican tuna… https://t.co/y0ybpIeGSS,
1109,It may be grizzly in London today but we're still scoffing sunshine food ☀️ Mexican tuna… https://t.co/0SjVFSC6qt,
1110,"150,000 hospitalized and 12,000 dead, London's 1952 'Killer coal Fog"" (Before EPA) https://t.co/xZwFfuo48U",
1114,@scottpeacock I hope this cold clear up soon before I go into London this week or I won't hear no Christmas music from the Buskers.,
1123,Autumn gold in London 😻😻can't stop loving this warm colour outfit. See more details on… https://t.co/6C2LuwBod2,
1127,look at this cold cutie https://t.co/CtmiYTeR7S,
1128,"On a packed train home from London and craving my pyjamas, a bath and a nice warm mug of Winter Spice @RibenaUK! ☕️",
1130,|| BABY ITS COLD OUTSIDE || oh well actually the weather here in London is quite mild but wet… https://t.co/uYYy7LMzbG,y
1136,"New to Twitter–not #Spiritual #Readings:
#London
#Dublin
#Paris
#NYC
#LA..
..#Sydney?
..YOU?… https://t.co/kGglEjof1k",
1137,He needs to be cuddles and kept warm my son https://t.co/1S8MBULCIh,
1139,"It is freezing!!!!! Travelling to London Town and I'm so cold, even though I've got 2 coats and a scarf on! #goingsoft ❄️❄️",y
1140,"How I wish this was still my view today, back in a cold, damp #london still it is a little… https://t.co/fUgBHWlnAK https://t.co/AgWb9nnz8x",y
1143,Still smiling through this cold! Brrrrrr ❄️ @superdry #london #model #superdry #cold #winter… https://t.co/bgmGoUiA2O,y
1144,You should be used to the cold being in Emmerdale. https://t.co/1Wok7TgcGg,y
1153,2pm: Cloudy -1.7C - Feels: -8C - Wind: W 23km/h Gusts to 39km/h - Bar: 101.3 kPa ^ - Hum: 79% #London #Weather,y
1154,He looks so smol and cold and cute:))) I hope he's okay https://t.co/5JEEuKDCAX,
1155,View the full forecast of Tomorrow’s Weather For London: AM Light Rain here - https://t.co/um1JKwxxEa #LondonWeather,y
1156,#London Dec 12 18:50 Temperature 11C cloudy Wind S 15 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1159,Hahaha going soft??? You're always cold even in the summer ❤️😂😂 https://t.co/XLgyR2vkRy,
1161,Three large #London floods in a week. Have your say on our future flood rescue capability here:… https://t.co/mMnRyg2HiM,
1172,#SAR #Flood #Rescue #FloodAware #London #News/ https://t.co/aN83yh6R6p,
1175,Beautiful music &amp; warm reception on the occasion of 42nd Anniversary of Republic 🇲🇹 in #London. Good luck with #EU… https://t.co/SNG1OR26vB,
1176,"Sunny day, happy day
#ootd #suede #fashion #moda #pinmorellasworld @ Chelsea, London https://t.co/Hpy9uVUbX6",y
1179,Yes last weekend in London amazing apartment on the 25th floor overlooking the Thames bloody cold though https://t.co/xLWuEeoaLL,y
1181,Severe Cold in the Forecast for New London,
1185,my tired cold sad little ily him so much https://t.co/kqBM6zvmqz,
1192,London so damn cold!,y
1201,😂 😂 😂 😂 https://t.co/QfMfyumL8S,
1202,My blog on #Christmas Day weather in #London since 1840 is fully updated with last year's record warm Yuletide https://t.co/lslmyN4dQZ,
1204,😂😂😂😂😂 https://t.co/zo8davHim7,
1206,Oh hell no!! https://t.co/gMcWmXKM9M,
1207,Stephen Frost Photography:: London Eye in the Sky (need to click to see properly)  #500pxrtg  #architecture #London https://t.co/S83BQbplFz,
1210,North CMShire https://t.co/RIMXNJTy85,
1215,This synoptic chart brought a record warm (15.2C) #Christmas day to east #London last year. https://t.co/lslmyN4dQZ https://t.co/tk9TRB3zKR,y
1217,Akufo-Addo Victory: NPP UK Supporters Flood London With NPP Colours Amid Celebrations https://t.co/SjJoyc7poE,
1220,#London Dec 12 19:20 Temperature 11C cloudy Wind SW 19 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1224,So it's you I saw while I was coming out of the subway. https://t.co/7qcSdnDsYP,
1225,"How cool is this!!? 😀😎👌❄️️❄️️ 
#iceskating #cruise #london
https://t.co/kVzQeKtfEw",
1227,LIT 🔥🔥😫 https://t.co/BlNOZlmW0v,
1229,london??? for real nigga?? https://t.co/QZTsmU0EHY,
1232,"Ok, back to cold London for now.
Trying a Juan Lopez No1 which stands in the shadow of the No2 - surprised how... https://t.co/88sHKZZ5jp",y
1237,#London #viewfromTateModern #StPauls #misty #grey #watercolours #urbansketchers #isacarmona… https://t.co/duK63hGvRE,y
1243,"View over London from the London Eye.  Even on a cloudy day, it's a stunning sight.
.
.
.
… https://t.co/FiRBLWZnrM https://t.co/4Nfp38TfsX",y
1244,MNF/Pitcher Night $6 Domestic Pitchers from 7pm-1am. MNF Ravens vs Patriots 7:30 ESPN. All at The Reef 2002 London Rd. Warm up w/ hot drinks,
1245,hurk's deffo given me a warm welcome to london https://t.co/fht19M3oyy,
1246,That was an interesting episode on 'The Crown' https://t.co/xSBDfO0lbK,
1248,Oooh @zachbraff #London @Lndonaficionado 👍😀x https://t.co/ow3kWuWrrP,
1249,Tomorrow's London weather: AM Light Rain with a high of 13C (56F) and a low of 9C (48F),y
1252,In London today on the last client roadshow of the year. It's cold and I'm sick. Bring on the South African summer… https://t.co/pDL2Cym6SB,
1253,3pm: Light Snow -2.2C - Feels: -9C - Wind: W 28km/h Gusts to 38km/h - Bar: 101.3 kPa ^ - Hum: 80% #London #Weather,y
1254,#London Dec 12 19:50 Temperature 11C cloudy Wind SW 17 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1256,Obalende CMS London branch!! https://t.co/oJw9iFQQoi,
1261,"Xmas shopping from the comfort of your warm &amp; cosy home, try Lottie Of London Jewellery #giftsforher #xmas #amazon… https://t.co/ER9JDGLxnS",
1275,You didn't even respect our intelligences and turn off location 😐 https://t.co/9UzKk3Yquh,
1282,Spotted an Aston Martin Vantage GT12 on display in London the other day. Hot damn it looks… https://t.co/PLYfZCVAJn https://t.co/DAEZIKKtCX,
1289,Red. #red #London #winter #cold https://t.co/y8Enr07jpS,y
1295,The temperature is 9C and currently/forecast mist in #London @ Mon 20:35:01GMT,y
1296,@AuthorLMurphy +14 in London (too warm),y
1299,When it's cold and dark in london and the gym is just too far away and you can can snack right after finishing the… https://t.co/Rtrs6cfPuP,y
1300,I just want to fly to London right now and hug louis so tight and make him some hot chocolate so he isn't cold. https://t.co/LVQX1FNuRo,
1301,"@jbmccrea Born in London,  love London,  my cold dead body will only leave in box. X",
1303,Look at the engines on that!!! #a380 Goodbye London! Enjoy the cold and rain... Sydney here I… https://t.co/M9l6HVUwfI,y
1304,Politiet har beslaglagt bedrageri-mistænkts villaer i London - https://t.co/6yTMDTY78f politi har endnu ikke afhørt rigmanden Sanjay Shah...,
1307,Are you shitting me? It's shitting #raining and the temperature is shitting 8°C. https://t.co/rcT4SBAWX6 #shittingweather #london,y
1310,#news #eu #norway  Politiet har beslaglagt bedrageri-mistænkts villaer i London: Dansk… https://t.co/cv3clrr7x4,
1315,"TOO COLD 😩❄️ @ London, United Kingdom https://t.co/PulT2cdLc9",y
1323,The current weather in #London this morning: Mostly Cloudy. The current temperature is 9°C with a 6km/h wind from the South.,y
1327,"Nice, way too nice image of Finland. We also have wet cold misery, crippling temperatures down to -30C and never en… https://t.co/BaOEBbxOOb",y
1328,4am: Cloudy -3.8C - Feels: -10C - Wind: SW 21km/h - Bar: 101.9 kPa v - Hum: 77% #London #Weather,y
1329,@VengerHPC @FollowingFX @BlandUnsight @NeverwhereHPC There's a cold wind blowing out from Prime Central London for sure.,y
1330,@JanCVanB In London but caught a cold. Hopefully will recover by next week,
1331,@wxcharts was a suggestion on my forecast that any cold this winter will be from south-east #battleground https://t.co/ip1AG86ApC,y
1332,A warm welcome to everyone attending out I&amp;E day today. Good luck #osteopathy #university #London,
1334,@domisatwit @ChrisMoyles currently raining in North London. #accurateweather,y
1335,A warm welcome to everyone attending our I&amp;E day today. Good luck #osteopathy #university #London,
1336,@AdeleIndo have a save flight and give London a warm hug from me! V jealous 🌚,
1337,Warm up this lunchtime with Greek-inspired cuisine from @TheLifeGoddess #centrallondon #hypeapp #london… https://t.co/TNmxOSkxxq,
1338,Back to London - who stole the sunshine? And the public transport system?!,y
1339,"#London Dec 13 08:50 Temperature 9C cloudy, Haze Wind SE 9 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d",y
1340,Grey sky and neon. Matches my soul #London #workworkwork https://t.co/Dv2abjqL9H https://t.co/YiFQ31Mf2i,y
1345,"A recent trip to #London, #TateModern, the river, a #rainbow over St Paul's, #art #architecture #winter sunshine. https://t.co/QwFN5Sp5xS",
1346,@SimonParkinITV Off to London tomorrow. But what coat to wear? Will it be cold? Dry? Help please!😀,
1347,Politiet har beslaglagt bedrageri-mistænkts villaer i London - https://t.co/XlO4KDcwYl politi har endnu ikke afhørt rigmanden Sanjay Shah...,
1349,What a nice summery warm day in London today 😭😭😭,y
1351,"Cold wet dark train station enroute to London and there's me thinking this is the ""most wonderful time of the year"" ?",
1353,The colour of #London weather today: murky mist with an over abundance of grey. #Thames https://t.co/BZgBigiOTQ,y
1355,@WMW_Florida morning Florida - great to meet you. Send us some sunshine ... Its a grey day here in London @WMW_Florida #equality,y
1357,"@katrinamilosevi I'm heading to London today, lovey. It's wet and grim. Bring some sunshine over!",y
1358,Greenford looking a bit muggy this morning. Damp and cold 😟 #London https://t.co/DfOMdX3nGA,y
1360,I forgot how warm London is and now I'm standing at the side of Debenhams waiting for my sodden shirt to dry out.,y
1362,"#London Dec 13 09:20 Temperature 10C overcast, Haze Wind SE 11 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d",y
1363,"@Berym Meanwhile, it's 9.30am in London and the sky is so grey that it looks like it's nighttime already 😩",y
1366,Morning babe girl❤ https://t.co/yPfd0Qh1uL,
1370,Jonathon brought rainbow bagels back from London... https://t.co/bR4hH9Io2U,
1373,DAY 49 // A Christmas Cold 😒😓 emmawatson sainsburys... #londonlife  #islington #London… https://t.co/LsZaXiHAqb,
1376,"@Mary_UB7 @walidalhadad203 @moriya19631 A telephone call from London, ""It's raining!"" https://t.co/R2XIS47Kb2",y
1380,"The london is cold in us but we hav Bae and we can warm.
That @DENRELE_EDUN is famzing me but I am a big girl and no have time for smal girl",y
1381,"@Mary_UB7 @walidalhadad203 @moriya19631 A telephone call from London,..""It's snowing!""",y
1394,Off to Newcastle! #LifeAtUbi #Ubisoft #London #Newcastle #fog #windfarm https://t.co/3Vc9qrodpu,y
1397,5am: Cloudy -4.7C - Feels: -11C - Wind: WSW 20km/h Gusts to 33km/h - Bar: 101.8 kPa v - Hum: 79% #London #Weather,y
1404,"Indies put on brave face after north London flood | News | Drapers - Drapers

Drapers

Indies put on brave face af… https://t.co/VmlkqAqU9l",
1405,I liked a @YouTube video from @bluegreensky007 https://t.co/lwK1mscrRt Dense Fog **Heavy Morning Arrivals**RW27L at London Heathrow,
1409,"Got a cold, working in London, have to work at 4 in the morning. Truly a FML moment. 😣😪😫",
1412,@charminglydaft @samdevlin I would if I could be warm. I've seldom been as cold as I was in London in November.,
1413,"32 here and I'm not looking forward to going back to cold London either - tomorrow!
@Sukyspook https://t.co/VYnnvoBCyh",y
1414,🤑£10 OFF all coats &amp; jackets today! 👉🏼https://t.co/OOQOXqhhhb #fashion #coat #cold #london #christmas #winter… https://t.co/WhKrybhhIz,
1415,Stephen Frost Photography: The city of London through tinted-glass. #Architecture #London #500pxrtg  https://t.co/AkE9OKvE8Z,
1416,@Crit_Dmg @Rellah81 London Y U So Scary! https://t.co/7z69aGuAH8 https://t.co/lthihUtDME,
1419,Even tho I'm not a fan of cold weather I really love London!!! ❤️🇬🇧 I can't wait to be back next year!,y
1423,"⭐️ #Uk • London's best pasta dishes: A host of new restaurants are pouring out perfect pasta, says John…… https://t.co/hqh03qn4qG",
1424,Love this place. @SomersetHouse best sshredded whilst snowing. Throwback. #somersethouse #london #ice https://t.co/2eGZA9aVz8,
1428,"On Sunday ev, we'll be taking food &amp; warm clothing out to London's homeless. If u can donate anything to distribute, please drop it in to us",
1430,"""baby, it's cold outside."" 😎🎶 
#londoncalling #xmas #winterwonderland #LDN #vscocam @ London,… https://t.co/3roJUfu1t6",
1433,"#EatingOut London's best pasta dishes - A host of new restaurants are pouring out perfect pasta, says John Greg... https://t.co/sxa5sfgu6p",
1439,Zaha Hadid review: The paintings leave me cold https://t.co/fz5PjSuXJ1,
1442,Straight out of the Grimoire of London pubs. https://t.co/WWCHbRivPI,
1445,6am: Partly Cloudy -6.3C - Feels: -11C - Wind: WSW 9km/h - Bar: 101.8 kPa v - Hum: 85% #London #Weather,y
1447,#London Dec 13 10:50 Temperature 11C light rain Wind S 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1448,Charles Dickens' London meets the Shard: obscured by fog https://t.co/zFgautT6qa,
1449,Wonderful #Christmas with Heavy #snow . A strong storm is hitting #Lebanon &amp; lasting 2 days.#Beirut #London #USA… https://t.co/BCn6gEupQX,y
1452,Raining up in that London innit. 🙄,y
1453,We are loving this coat. Especially since we're really cold right now. https://t.co/4qq1PhymAr #fashion #london… https://t.co/cqVwoGmUyB,
1456,There's always someone in the cold when we're warm #MannTravels #europe #London #london2016 #uk… https://t.co/D6Y7KYmYrG,
1458,Teen London Lynn twat filled with warm jizz by nasty dude - https://t.co/sTKojexo5E,
1465,Sunrise in london this morning was just stunning #london #fog… https://t.co/70ifCXf8Fn,y
1470,".@PiotrSkut You've got it wrong. My London-born grandfather was the migrant + millions of Brits - to SA 4 work, land, servants &amp; sunshine.",
1473,Should've bought that Gryffindor Quidditch sweater in London. I'm so cold and that sweater looked so warm and comfy,y
1486,"""Baby it's cold outside"", but not inside the gym at London Beach. Get down here and start a workout. That will soon warm you up.",
1487,@BlairSilver it's raining in London 😞,y
1488,"London train mercifully warm after yesterday's service, when someone had idea of blasting cold damp exterior air straight in at foot level.",
1489,Steff London is cold wow,y
1492,"Polar Medicine led by Prof. Chris Imray, cold injury authority &amp; Dr Matt Edwards ex BAS, AMREF &amp; London HEMS.... https://t.co/2SsFxR6h8P",
1494,"London: December 13, 2016 at 06:39AM - Light Rain with a high temperature of 11. #Weather #UK",y
1495,"Cold, tired, alone and jet lagged. Me first impressions of London were simply miserable... that is untill I saw... https://t.co/76tS6UaOwv",y
1496,@HuffPostUK @EveningStandard  @Metropixdesk @SunPictureDesk @DailyMailUK @elliotwagland  Cloudy day in London… https://t.co/MWrkR3XMvC,y
1497,London Weather: Cloudy and Overcast  @AlamyNews @EveningStandard @Metropixdesk @guardiannews @TimeOutLondon… https://t.co/xTzoW9tXlt,y
1498,Some style in the London drizzle https://t.co/TkHTbKGSCh,y
1500,Here are the best places to warm up your vocal chords over the festive period: https://t.co/JLnZ48aBQt via @SheerLuxe | Tra la la la la,
1504,Just want to spend a day in London eating loads of food and drinking hot chocolates🏙☕️,
1505,"current weather in London: mist, 11°C
93% humidity, wind 2kmh, pressure 1020mb",y
1506,"Indies put on brave face after north London flood | News | Drapers - Drapers

Drapers

Indies put on brave face af… https://t.co/IdHpp9Iro5",
1507,Bring it on! Hope to see some in New London Mo. @KHQATegan https://t.co/qiBv9P1h7b,
1508,12 Mesmerising Photos Of #London In The Fog That Will Leave You Mist-ified https://t.co/gpiECjI8Ki,
1509,The forecast for London for the rest of today: Light Rain; high 13C (56F) / low 8C (46F). Wind Southwest 6mph (10kmph),y
1510,The current weather in #London today: Cloudy. The current temperature is 12°C with a 10km/h wind from the Southwest.,y
1513,"@AsshaMfc In London, it's been a bit odd so far.  A couple of freezing nights, but mostly surprisingly mild weather, and even sunshine! ⛅️",y
1515,"My feet are cold &amp; East London is grey today, but is it always? 🤔",y
1516,7am: Mostly Cloudy -7.1C - Feels: -14C - Wind: SW 17km/h - Bar: 101.8 kPa v - Hum: 88% #London #Weather,y
1517,it's raining which sucks bc I'm going to london BUT it does mean I can finally break out the morms umbrella 🌂🌂,y
1520,NowPlaying All Hail the Power of Jesus' Name - London Philharmonic Choir; National Philharmonic Orchestra https://t.co/CUO78X8sGa 12:07,
1526,Why ain't nobody gonna warn me bout this London type fog? — feeling silly,y
1528,Get ready for Christmas with Jack Frost! https://t.co/PMDh1qKCzC #christmas https://t.co/QoZu7o9qrD,
1529,#London Dec 13 11:50 Temperature 12C cloudy Wind S 15 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1533,Errrr no East London is not always grey thanks... rich coming from the depressing weather of 0121 #E3 https://t.co/7JW0ko2aGs,y
1535,Will you be joining us for #lunch today? We're just minutes from #Hydepark and have the ideal dishes to warm you up… https://t.co/1jJeJdlze0,
1540,"@PurbaSr
@GordonTredgold 
A Sunny Mid Day 
Picturesque London
Winter Sunshine
All part of the cyclical PROCESSES 
F… https://t.co/RyXzHjIjKr",
1545,The temperature is 11C and currently/forecast mist in #London @ Tue 12:20:02GMT,y
1555,Very excited to have got a train from Oxford to London today that *was not delayed*. All hail @chilternrailway's new line.,
1562,@TantrumJas What is the wheather in London?In my hometown (Świnoujście) is gray and cold,
1564,"@TantrumJas What is the wheather in London? In my hometown (Świnoujście, Poland) it's grey and cold",
1567,Last time I left London I cried. This time I can just blame it on this stupid cold. #SickandSappy,
1569,#London Dec 13 12:20 Temperature 13C cloudy Wind S 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1570,#flying to #cork in the #fog and #drizzle @ London Stansted Airport https://t.co/mmENmQdAsx,y
1580,"Please give Daisy a warm welcome, thanks @MiddletonMurray https://t.co/ESEzgMMEMJ",
1590,HOODED...#winter #warm #tattoo #boy #park #life #skater #boy #london #life #clothing #streetwear #jumper #trendy #uk https://t.co/93r8s4lP1k,
1591,@DaniJadeLeatham nothing worse than walking around in London when it's packed and cold. I think everyone hates it 😂 X,y
1592,"Polar Medicine led by Prof. Chris Imray, cold injury authority &amp; Dr Matt Edwards ex BAS, AMREF &amp; London HEMS.… https://t.co/OQOUSPvV7g",
1593,Finally in beautiful Malta...but left London with a stinking cold :( FUN TIMES!,
1595,"@SotoWendy84 I'm doing fine babes it's also cold in London too no snow yet , but we might get some. Give my love to you family 😘😘😘💕",y
1602,"There are 4 Ontario Hockey League hot spots (Erie, London, Windsor, Soo) and one cold spot  (Hamilton.) New HNN: https://t.co/JYzpfxVxMY",
1606,@JoeySpiritOHL @StuStatsSpits @bobbywmurray @CskiChris @Jake__Goldberg @timpanoo @drew_banny1 @stewradio… https://t.co/36anCwjljf,
1607,8am: Mostly Cloudy -6.4C - Feels: -14C - Wind: SW 21km/h - Bar: 101.9 kPa v - Hum: 87% #London #Weather,y
1610,Thanks for the shout-out Nikki! https://t.co/4gYeEpJNwB,
1611,"PEI Snowfall measurements courtesy of the #cocorahsCANADA network. Elmwood 16.2 cms, Stratford 15.2, New London 14.8, Wellington 13.2",
1612,The temperature is 11C and currently/forecast haze in #London @ Tue 13:10:02GMT,y
1613,complete with obligatory uk december drizzle @eye_on_CBs https://t.co/FqkC4GeEzh,y
1615,"Icetank Studios are bringing a touch of frost to London with the help of @geniximaging .
#Tuesday #Winter… https://t.co/oAQcK5XPCb",
1616,8am: Mostly Cloudy -6.5C - Feels: -13C - Wind: SW 20km/h Gusts to 31km/h - Bar: 101.9 kPa ^ - Hum: 88% #London #Weather,y
1619,#startup #finance leaving you in a cold sweat? Attend our Finance for founders bootcamp in London in January 2017. https://t.co/tfXjJnezHL,
1620,"My mans Mr. All the Way from LA, Mister Blaqk bringing some new flaves and waves to cloudy London. Check the dude! https://t.co/wYN8M4gUYC",
